machine,bench,lock,result,err
medusa,maps,hpx::spinlock,6.00,0.00
medusa,maps,BackoffLock,8.00,0.00
medusa,maps,TASLock,8.00,0.00
medusa,maps,TTASLock,8.00,0.00
medusa,maps,TwoCounterLock,8.00,0.00
medusa,maps,IdLock,8.17,0.37
medusa,maps,TIdLock,8.44,0.50
medusa,maps,std::mutex,9.00,0.00
medusa,maps,std::recursive_mutex,9.00,0.00
medusa,maps,MCSLock,9.00,0.00
medusa,maps,hpx::mutex,9.58,0.49
medusa,maps,ALock,10.00,0.00
medusa,maps,CLHLock,10.03,0.16
medusa,maps,OptimizedALock,10.22,0.42
medusa,sets,hpx::spinlock,116.00,0.00
medusa,sets,TwoCounterLock,122.90,0.43
medusa,sets,IdLock,122.91,0.45
medusa,sets,TIdLock,123.21,0.46
medusa,sets,TTASLock,123.26,0.44
medusa,sets,TASLock,123.45,0.57
medusa,sets,std::recursive_mutex,126.29,0.53
medusa,sets,BackoffLock,126.33,0.47
medusa,sets,MCSLock,130.34,0.55
medusa,sets,CLHLock,141.34,0.57
medusa,sets,hpx::mutex,151.39,0.49
medusa,sets,ALock,154.26,0.46
medusa,sets,OptimizedALock,193.72,0.52
medusa,sets,std::mutex,296.08,724.02
medusa,locks,hpx::spinlock,58.72,0.45
medusa,locks,TASLock,92.21,5.67
medusa,locks,TwoCounterLock,92.28,5.43
medusa,locks,IdLock,110.00,0.00
medusa,locks,TTASLock,118.15,5.84
medusa,locks,std::mutex,118.48,0.50
medusa,locks,BackoffLock,119.26,5.32
medusa,locks,MCSLock,120.97,0.17
medusa,locks,std::recursive_mutex,123.00,0.00
medusa,locks,TIdLock,124.20,0.96
medusa,locks,CLHLock,162.06,0.23
medusa,locks,ALock,164.75,0.71
medusa,locks,OptimizedALock,182.41,0.84
medusa,locks,hpx::mutex,243.04,0.21
mel,sets,std::mutex,1931.11,14.97
mel,sets,std::recursive_mutex,2047.62,22.92
mel,sets,hpx::mutex,2327.80,15.72
mel,sets,BackoffLock,2523.49,211.54
mel,sets,TTASLock,2588.61,148.41
mel,sets,TIdLock,2612.70,128.06
mel,sets,TwoCounterLock,2679.10,192.57
mel,sets,ALock,2840.25,83.11
mel,sets,TASLock,2886.41,137.30
mel,sets,IdLock,2940.79,166.14
mel,sets,OptimizedALock,2990.43,101.39
mel,sets,CLHLock,3280.26,134.06
mel,sets,hpx::spinlock,3340.79,400.52
mel,sets,MCSLock,3466.61,187.56
mel,locks,TASLock,31.00,0.00
mel,locks,TwoCounterLock,34.00,0.00
mel,locks,IdLock,34.42,0.49
mel,locks,TIdLock,37.88,0.33
mel,locks,BackoffLock,38.00,0.00
mel,locks,TTASLock,38.45,0.50
mel,locks,MCSLock,39.00,0.00
mel,locks,std::mutex,39.27,0.45
mel,locks,std::recursive_mutex,42.00,0.00
mel,locks,hpx::spinlock,277.20,32.89
mel,locks,CLHLock,277.90,842.36
mel,locks,ALock,530.20,957.91
mel,locks,OptimizedALock,761.80,1306.89
mel,locks,hpx::mutex,2330.35,41.61
mel,maps,BackoffLock,190.89,6.00
mel,maps,CLHLock,195.05,2.64
mel,maps,OptimizedALock,197.81,7.08
mel,maps,ALock,210.01,3.51
mel,maps,TIdLock,211.31,4.79
mel,maps,TwoCounterLock,211.38,4.31
mel,maps,TTASLock,212.53,3.70
mel,maps,hpx::spinlock,212.82,4.09
mel,maps,hpx::mutex,223.89,2.10
mel,maps,MCSLock,250.41,9.49
mel,maps,std::mutex,256.55,4.25
mel,maps,std::recursive_mutex,280.74,5.74
mel,maps,IdLock,290.70,11.96
mel,maps,TASLock,290.77,12.31
mike,locks,hpx::spinlock,10.00,0.00
mike,locks,TwoCounterLock,17.54,0.91
mike,locks,CLHLock,18.00,0.00
mike,locks,TASLock,18.59,0.89
mike,locks,IdLock,19.50,0.94
mike,locks,MCSLock,22.35,0.48
mike,locks,std::mutex,22.88,0.33
mike,locks,BackoffLock,24.36,1.19
mike,locks,TTASLock,24.42,1.15
mike,locks,std::recursive_mutex,25.21,1.26
mike,locks,TIdLock,25.32,1.26
mike,locks,ALock,30.00,0.00
mike,locks,OptimizedALock,31.23,0.42
mike,locks,hpx::mutex,35.00,0.00
mike,maps,hpx::spinlock,5.23,0.42
mike,maps,TASLock,8.00,0.00
mike,maps,TwoCounterLock,8.00,0.00
mike,maps,TTASLock,8.80,0.40
mike,maps,BackoffLock,9.00,0.00
mike,maps,IdLock,9.00,0.00
mike,maps,std::recursive_mutex,9.10,0.30
mike,maps,TIdLock,9.20,0.40
mike,maps,std::mutex,9.90,0.30
mike,maps,MCSLock,10.00,0.00
mike,maps,ALock,12.00,0.00
mike,maps,CLHLock,12.00,0.00
mike,maps,hpx::mutex,12.00,0.00
mike,maps,OptimizedALock,12.30,0.46
mike,sets,hpx::spinlock,185.32,0.55
mike,sets,TASLock,200.60,0.66
mike,sets,BackoffLock,200.92,0.76
mike,sets,TwoCounterLock,201.50,0.67
mike,sets,TTASLock,201.60,0.66
mike,sets,MCSLock,215.00,0.95
mike,sets,std::mutex,229.98,114.36
mike,sets,std::recursive_mutex,234.92,180.09
mike,sets,hpx::mutex,239.60,0.49
mike,sets,ALock,251.67,0.85
mike,sets,OptimizedALock,287.10,1.30
mike,sets,TIdLock,4111.88,14675.65
mike,sets,IdLock,4978.12,14828.38
mike,sets,CLHLock,9068.06,18182.25
qbc,maps,std::mutex,43.48,0.74
qbc,maps,OptimizedALock,45.05,4.57
qbc,maps,TTASLock,46.15,1.94
qbc,maps,TIdLock,46.80,1.40
qbc,maps,hpx::spinlock,49.08,0.98
qbc,maps,std::recursive_mutex,49.40,0.49
qbc,maps,ALock,49.88,3.77
qbc,maps,TwoCounterLock,51.62,3.28
qbc,maps,MCSLock,52.20,5.33
qbc,maps,CLHLock,52.38,5.76
qbc,maps,IdLock,54.42,4.40
qbc,maps,BackoffLock,57.42,1.22
qbc,maps,TASLock,57.88,3.98
qbc,maps,hpx::mutex,58.02,1.71
qbc,sets,hpx::spinlock,312.49,13.43
qbc,sets,TIdLock,401.19,24.40
qbc,sets,TTASLock,406.72,21.90
qbc,sets,hpx::mutex,416.70,4.78
qbc,sets,MCSLock,418.57,43.07
qbc,sets,std::recursive_mutex,435.47,12.39
qbc,sets,std::mutex,451.67,16.96
qbc,sets,TwoCounterLock,453.79,43.78
qbc,sets,BackoffLock,467.28,36.67
qbc,sets,TASLock,488.34,24.59
qbc,sets,CLHLock,527.34,59.33
qbc,sets,IdLock,544.21,23.75
qbc,sets,ALock,571.91,81.53
qbc,sets,OptimizedALock,664.57,51.06
qbc,locks,BackoffLock,63.61,5.09
qbc,locks,std::mutex,152.63,13.18
qbc,locks,std::recursive_mutex,174.89,11.99
qbc,locks,MCSLock,633.63,47.31
qbc,locks,hpx::spinlock,642.38,24.95
qbc,locks,OptimizedALock,650.32,42.84
qbc,locks,CLHLock,664.50,24.49
qbc,locks,TIdLock,1005.26,78.03
qbc,locks,TTASLock,1014.19,84.68
qbc,locks,hpx::mutex,1496.00,30.78
qbc,locks,TwoCounterLock,1035.67,85.39
qbc,locks,ALock,1576.00,161.03
qbc,locks,IdLock,1903.89,215.10
qbc,locks,TASLock,2111.67,369.95
skeleton,locks,BackoffLock,63.50,18.83
skeleton,locks,hpx::spinlock,89.75,9.44
skeleton,locks,TTASLock,144.75,11.63
skeleton,locks,TIdLock,149.08,10.42
skeleton,locks,std::mutex,149.21,18.23
skeleton,locks,std::recursive_mutex,161.19,14.39
skeleton,locks,TASLock,238.56,28.99
skeleton,locks,IdLock,252.90,28.45
skeleton,locks,TwoCounterLock,512.69,52.79
skeleton,locks,MCSLock,616.25,50.34
skeleton,locks,ALock,635.52,53.72
skeleton,locks,CLHLock,636.73,56.40
skeleton,locks,OptimizedALock,671.94,62.62
skeleton,locks,hpx::mutex,954.60,124.48
skeleton,maps,ALock,757.12,76.86
skeleton,maps,CLHLock,776.85,62.72
skeleton,maps,MCSLock,818.08,97.26
skeleton,maps,TwoCounterLock,819.98,61.33
skeleton,maps,OptimizedALock,857.98,92.03
skeleton,maps,std::recursive_mutex,957.00,86.80
skeleton,maps,std::mutex,964.23,63.78
skeleton,maps,TIdLock,978.33,247.79
skeleton,maps,TTASLock,994.90,235.05
skeleton,maps,TASLock,1035.33,231.51
skeleton,maps,BackoffLock,1050.65,86.67
skeleton,maps,IdLock,1112.97,223.80
skeleton,maps,hpx::mutex,1119.45,20.99
skeleton,maps,hpx::spinlock,1646.62,148.02
skeleton,sets,TIdLock,26.95,1.78
skeleton,sets,TTASLock,27.90,2.32
skeleton,sets,TASLock,28.71,2.16
skeleton,sets,TwoCounterLock,33.10,5.72
skeleton,sets,BackoffLock,34.85,3.14
skeleton,sets,hpx::mutex,35.95,2.47
skeleton,sets,MCSLock,36.17,5.17
skeleton,sets,IdLock,36.24,3.98
skeleton,sets,hpx::spinlock,40.39,5.68
skeleton,sets,CLHLock,45.63,7.61
skeleton,sets,ALock,46.68,9.71
skeleton,sets,OptimizedALock,59.22,14.61
skeleton,sets,std::mutex,93.93,13.27
skeleton,sets,std::recursive_mutex,130.90,23.60
twilight,locks,hpx::spinlock,2.29,0.45
twilight,locks,TASLock,3.46,2.02
twilight,locks,std::recursive_mutex,3.54,0.50
twilight,locks,IdLock,3.67,1.65
twilight,locks,TIdLock,4.04,1.93
twilight,locks,TTASLock,4.29,1.90
twilight,locks,std::mutex,5.38,1.65
twilight,locks,BackoffLock,5.54,1.96
twilight,locks,TwoCounterLock,14.42,3.97
twilight,locks,MCSLock,19.00,5.77
twilight,locks,ALock,21.62,4.71
twilight,locks,OptimizedALock,21.96,3.43
twilight,locks,CLHLock,23.54,3.87
twilight,locks,hpx::mutex,27.83,3.88
twilight,maps,std::recursive_mutex,9794.05,2393.95
twilight,maps,ALock,10023.64,4038.06
twilight,maps,TwoCounterLock,10097.24,3729.44
twilight,maps,std::mutex,10170.50,2111.68
twilight,maps,CLHLock,10538.68,3635.48
twilight,maps,BackoffLock,10840.14,2456.43
twilight,maps,MCSLock,10896.59,4243.30
twilight,maps,OptimizedALock,11215.59,4486.94
twilight,maps,TTASLock,13393.43,4876.77
twilight,maps,TASLock,13509.38,2735.81
twilight,maps,IdLock,13509.45,3885.76
twilight,maps,TIdLock,14076.05,5578.14
twilight,maps,hpx::mutex,15030.81,812.88
twilight,maps,hpx::spinlock,16964.81,1358.74
twilight,sets,TTASLock,9.00,1.32
twilight,sets,TIdLock,9.04,1.37
twilight,sets,TASLock,9.33,1.49
twilight,sets,hpx::spinlock,11.09,1.78
twilight,sets,IdLock,11.50,1.00
twilight,sets,hpx::mutex,11.73,1.45
twilight,sets,TwoCounterLock,12.62,2.50
twilight,sets,MCSLock,14.00,2.92
twilight,sets,BackoffLock,15.25,4.99
twilight,sets,ALock,18.96,5.49
twilight,sets,CLHLock,20.54,5.66
twilight,sets,OptimizedALock,26.00,9.33
twilight,sets,std::mutex,75.42,10.28
twilight,sets,std::recursive_mutex,81.83,10.34
buran,locks,hpx::spinlock,58.00,0.00
buran,locks,MCSLock,101.09,0.29
buran,locks,CLHLock,104.18,0.47
buran,locks,TIdLock,108.15,0.35
buran,locks,IdLock,108.93,0.26
buran,locks,TwoCounterLock,112.00,0.00
buran,locks,BackoffLock,116.02,4.42
buran,locks,TTASLock,116.25,4.46
buran,locks,TASLock,116.27,4.35
buran,locks,std::recursive_mutex,116.29,0.53
buran,locks,std::mutex,124.04,0.38
buran,locks,OptimizedALock,187.25,0.43
buran,locks,ALock,188.45,0.50
buran,locks,hpx::mutex,418.94,2.28
buran,sets,hpx::spinlock,141.00,0.00
buran,sets,std::recursive_mutex,151.98,0.15
buran,sets,std::mutex,153.00,0.00
buran,sets,TwoCounterLock,153.78,0.41
buran,sets,TASLock,154.83,0.38
buran,sets,BackoffLock,155.49,0.50
buran,sets,TTASLock,155.51,0.50
buran,sets,IdLock,155.54,0.50
buran,sets,CLHLock,156.32,0.47
buran,sets,MCSLock,158.05,6.65
buran,sets,TIdLock,163.78,37.17
buran,sets,hpx::mutex,174.51,0.50
buran,sets,ALock,180.26,0.44
buran,sets,OptimizedALock,193.54,0.50
buran,maps,hpx::spinlock,6.00,0.00
buran,maps,TTASLock,7.95,0.22
buran,maps,TASLock,8.00,0.00
buran,maps,TwoCounterLock,8.00,0.00
buran,maps,IdLock,8.05,0.22
buran,maps,TIdLock,8.07,0.26
buran,maps,BackoffLock,8.12,0.33
buran,maps,std::mutex,8.22,0.42
buran,maps,std::recursive_mutex,9.00,0.00
buran,maps,MCSLock,9.00,0.00
buran,maps,ALock,9.40,0.49
buran,maps,OptimizedALock,9.54,0.50
buran,maps,CLHLock,11.41,0.49
buran,maps,hpx::mutex,14.00,0.00
